## THIS IS A LIST OF RULES FOR THE RESOLUTION OF TITLI IN CHURCH SLAVONIC
## LINES BEGINNING WITH # ARE IGNORED
## COLUMNS ARE SEPARATED BY TAB
## Symbol "." (dot) in pattern means that word break is required here
гг҃л	нгел
пⷭ҇л	по́стол
пⷭ҇тол	по́стол
пⷭ҇тѡл	по́стѡл
пⷭ҇кп	пи́скоп
пⷭ҇коп	пи́скоп
гг҃єл	нгєл
бг҃а.	Бо́га
бг҃ови.	Бо́гови
.бг҃ома́т	Богома́т
.бг҃омлад	Богомлад
.бг҃омт҃	Богома́т
бг҃ом	бо́гом
.бг҃оро́д	Богоро́д
.бг҃ꙋ.	Бо́гу
.бг҃ъ	Бо́гъ
бг҃	бог
Бг҃	Бог
.бж҃е.	Бо́же
бж҃е	боже
Бж҃е	Боже
бж҃ї	бо́жї
Бж҃ї	Бо́жї
бжⷭ҇т	боже́ст
Бжⷭ҇т	Боже́ст
бз҃и	бози
Бз҃и	Бози
.бз҃ѣ	Бозѣ
бз҃ѣ	бозѣ
Бз҃ѣ	Бозѣ
блгⷣт	благода́т
Блгⷣт	Благода́т
блгⷭ҇в	благослов
Блгⷭ҇в	Благослов
.бл҃га.	бла́га
.бл҃ги.	бла́ги
.бл҃го.	бла́го
.бл҃гъ.	бла́гъ
бл҃г	благ
Бл҃г	Благ
бл҃ж	блаж
Бл҃ж	Блаж
бл҃з	блаз
Бл҃з	Блаз
.бцⷣ	Богоро́диц
бцⷣ	богоро́диц
Бцⷣ	Богоро́диц
бчⷣ	богоро́дич
Бчⷣ	Богоро́дич
.влⷣк	Влады́к
влⷣк	влады́к
Влⷣк	Влады́к
влⷣц	влады́ц
Влⷣц	Влады́ц
влⷣч	влады́ч
Влⷣч	Влады́ч
кр҃с	кре́с
кр҃л	кре́сл
кр҃ш	креш
крⷭ҇и	креси
крⷭ҇	кре́с
гдⷭ҇а	Го́спода
гдⷭ҇ви	Го́сподеви
гдⷭ҇е	Го́споде
гдⷭ҇и	Го́споди
Гдⷭ҇	Го́спод
гдⷭ҇и́н	господи́н
гдⷭ҇и	Го́споди
гдⷭ҇к	госпо́дск
гдⷭ҇н	госпо́дн
гдⷭ҇о	господо
гдⷭ҇р	госуда́р
гдⷭ҇с	госпо́дс
гдⷭ҇ꙋ.	Го́сподꙋ
гдⷭ҇ь.	Госпо́дь
гдⷭ҇ь	госпо́дь
гдⷭ҇ѣ	Го́сподѣ
глаⷡ҇	глава̀
гл҃а	глаго́ла
Гл҃а	Глаго́ла
гл҃г	глаг
Гл҃г	Глаг
гл҃е	глаго́ле
Гл҃е	Глаго́ле
гл҃и	глаго́ли
Гл҃и	Глаго́ли
гл҃ꙋ	глаго́лꙋ
Гл҃ꙋ	Глаго́лꙋ
гл҃ъ	глаго́лъ
Гл҃ъ	Глаго́лъ
гл҃ю	глаго́лю
Гл҃ю	Глаго́лю
гл҃ѧ	глаго́лѧ
Гл҃ѧ	Глаго́лѧ
глⷡ҇а	глава̀
Глⷡ҇а	Глава̀
гпⷭ҇ж	госпож
Гпⷭ҇ж	Госпож
дваⷤ	два́жды
Дваⷤ	Два́жды
.дв҃а	Дѣ́ва
дв҃а	дѣ́ва
дв҃д	Дави́д
Дв҃д	Дави́д
дв҃и́	дѣви́
дв҃и̑	дѣви̑
.дв҃о	Дѣ́во
дв҃о	дѣ́во
дв҃ы	дѣ́вы
дв҃с	дѣ́вс
.дв҃ꙋ	Дѣ́вꙋ
дв҃ꙋ	дѣ́вꙋ
дв҃ц	дѣ́виц
дв҃ч	дѣви́ч
.дв҃ы	Дѣ́вы
дв҃ы	дѣ́вы
.дв҃ѣ	Дѣ́вѣ
дв҃ѣ	дѣ́вѣ
двⷭ҇т	дѣ́вст
Дв҃	Дѣ́в
дс҃ѣ	ду́сѣ
Дс҃	Ду́с
дх҃а	ду́ха
дх҃и	ду́хи
дх҃н	духн
дх҃о	духо
дх҃ѡ	духѡ
дх҃ꙋ	ду́хꙋ
дх҃ъ	ду́хъ
дх҃ѣ	ду́хѣ
Дх҃	Ду́х
дш҃а	душа
дш҃е.	ду́ше
дш҃е	душе
дш҃и	души
дш҃ꙋ	ду́шꙋ
дш҃ы	ду́шы
Дш҃	Душ
ѵⷢ҇л	ѵа́нгел
заⷱ҇	зача́ло
Заⷱ҇	Зача́ло
мⷬ҇к	мѧрѣ́к
рⷭ҇л	русал
і҆и҃л	І҆сра́ил
і҆и҃с	І҆исꙋ́с
кн҃г	кнѧг
кн҃же.	кнѧ́же
кн҃ж	кнѧж
кн҃з	кнѧ́з
Кн҃	Кнѧ́
кр҃с	крес
